style_code,size_code,Size,20,30,100,200,300,500,1000,2000,3000,5000,10000,20000,50000,100000
printed,0-25inch,1/4 Inch,3.53,0.89,0.56,0.26,0.25,0.24,0.15,0.15,0.15,0.14,0.13,0.13,0.13,0.12
printed,0-50inch,1/2 Inch,1.33,0.68,0.38,0.33,0.3,0.2,0.13,0.12,0.12,0.09,0.09,0.09,0.09,0.07
printed,0-75inch,3/4 Inch,6.22,2.29,0.75,0.59,0.5,0.43,0.34,0.32,0.32,0.31,0.31,0.3,0.3,0.3
printed,1-00inch,1 Inch,4.67,2.3,0.77,0.6,0.51,0.46,0.36,0.33,0.33,0.32,0.32,0.32,0.28,0.28
printed,1-50inch,1 1/2 Inch,4.96,2.46,0.92,0.55,0.49,0.41,0.3,0.28,0.28,0.28,0.27,0.27,0.26,0.26
printed,2-00inch,2 Inch,5.37,3.45,1.3,0.77,0.69,0.58,0.43,0.4,0.4,0.4,0.39,0.39,0.37,0.37
debossed,0-25inch,1/4 Inch,1.33,0.71,0.48,0.28,0.25,0.22,0.13,0.13,0.13,0.13,0.13,0.12,0.09,0.07
debossed,0-50inch,1/2 Inch,1.31,0.83,0.41,0.32,0.29,0.21,0.15,0.15,0.15,0.13,0.11,0.1,0.07,0.06
debossed,0-75inch,3/4 Inch,3.67,3.07,0.63,0.38,0.33,0.28,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
debossed,1-00inch,1 Inch,3.13,2.21,0.78,0.78,0.38,0.33,0.23,0.22,0.22,0.22,0.22,0.22,0.19,0.19
debossed,1-50inch,1 1/2 Inch,3.82,2.46,1.74,1.05,0.95,0.86,0.48,0.43,0.43,0.39,0.38,0.36,0.36,0.36
debossed,2-00inch,2 Inch,5.92,3.8,2.75,1.79,1.52,1.35,0.76,0.68,0.66,0.66,0.6,0.6,0.57,0.57
ink-injected,0-25inch,1/4 Inch,2.11,0.89,0.58,0.33,1.24,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.12
ink-injected,0-50inch,1/2 Inch,2.2,1.03,0.68,0.4,0.4,0.32,0.2,0.2,0.2,0.14,0.13,0.13,0.13,0.09
ink-injected,0-75inch,3/4 Inch,5.72,4.9,0.92,0.66,0.58,0.52,0.44,0.41,0.41,0.36,0.38,0.35,0.35,0.35
ink-injected,1-00inch,1 Inch,6.69,5.7,0.98,0.74,0.64,0.59,0.49,0.47,0.47,0.42,0.4,0.4,0.4,0.39
ink-injected,1-50inch,1 1/2 Inch,3.82,2.46,1.74,1.05,0.95,0.85,0.48,0.43,0.43,0.39,0.38,0.36,0.36,0.36
ink-injected,2-00inch,2 Inch,5.92,3.8,2.75,1.69,1.52,1.35,0.76,0.68,0.68,0.63,0.6,0.6,0.57,0.57
embossed,0-25inch,1/4 Inch,1.33,0.71,0.48,0.28,0.25,0.22,0.13,0.13,0.13,0.13,0.13,0.12,0.09,0.07
embossed,0-50inch,1/2 Inch,1.31,0.83,0.41,0.32,0.29,0.21,0.15,0.15,0.15,0.13,0.11,0.1,0.07,0.06
embossed,0-75inch,3/4 Inch,3.67,3.07,0.63,0.38,0.33,0.28,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
embossed,1-00inch,1 Inch,3.13,2.21,0.78,0.78,0.38,0.33,0.23,0.22,0.22,0.22,0.22,0.22,0.19,0.19
embossed,1-50inch,1 1/2 Inch,3.82,2.46,1.74,1.05,0.95,0.86,0.48,0.43,0.43,0.39,0.38,0.36,0.36,0.36
embossed,2-00inch,2 Inch,5.92,3.8,2.75,1.79,1.52,1.35,0.76,0.68,0.66,0.66,0.6,0.6,0.57,0.57
dual-Layer,0-50inch,1/2 Inch,3.48,2.09,0.93,0.86,0.84,0.82,0.54,0.47,0.47,0.34,0.23,0.23,0.23,0.22
dual-Layer,0-75inch,3/4 Inch,5.61,4.36,1.34,1.29,1.16,1.15,1.01,0.9,0.9,0.44,0.67,0.16,0.12,0.09
embossed-printed,0-25inch,1/4 Inch,4.41,2.84,1.26,0.82,0.68,0.58,0.48,0.33,0.25,0.25,0.25,0.25,0.25,0.25
embossed-printed,0-50inch,1/2 Inch,4.9,2.82,1.11,0.75,0.66,0.56,0.46,0.31,0.31,0.23,0.23,0.23,0.23,0.23
embossed-printed,0-75inch,3/4 Inch,8.71,6.22,2.74,1.78,1.48,1.24,1.03,0.71,0.53,0.53,0.53,0.52,0.52,0.49
embossed-printed,1-00inch,1 Inch,8.82,5.65,2.49,1.62,1.34,1.34,1.13,0.93,0.65,0.5,0.48,0.48,0.47,0.47
embossed-printed,1-50inch,1 1/2 Inch,8.82,6.3,2.75,1.78,1.47,1.26,1.04,0.72,0.54,0.54,0.54,0.54,0.54,0.54
embossed-printed,2-00inch,2 Inch,13.7,9.78,4.32,2.83,2.33,1.97,1.63,1.13,0.87,0.87,0.85,0.85,0.85,0.85
figured,0-50inch,1/2 Inch,9.3,3.9,2.42,1.35,0.8,0.41,0.28,0.28,0.28,0.26,0.25,0.25,0.25,0.18
figured,0-75inch,3/4 Inch,11.53,9.88,1.88,1.36,1.2,1.08,0.91,0.88,0.88,0.76,0.79,0.76,0.76,0.75
figured,1-00inch,1 Inch,11.53,9.88,1.88,1.36,1.2,1.08,0.91,0.88,0.88,0.79,0.76,0.76,0.76,0.75
blank,0-25inch,1/4 Inch,1.33,0.71,0.48,0.28,0.25,0.22,0.13,0.13,0.13,0.13,0.13,0.12,0.09,0.07
blank,0-50inch,1/2 Inch,1.31,0.83,0.41,0.32,0.29,0.21,0.15,0.15,0.15,0.13,0.11,0.1,0.07,0.06
blank,0-75inch,3/4 Inch,3.67,3.07,0.63,0.38,0.33,0.28,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
blank,1-00inch,1 Inch,3.13,2.21,0.78,0.78,0.38,0.33,0.23,0.22,0.22,0.22,0.22,0.22,0.19,0.19
blank,1-50inch,1 1/2 Inch,3.82,2.46,1.74,1.05,0.95,0.86,0.48,0.43,0.43,0.39,0.38,0.36,0.36,0.36
blank,2-00inch,2 Inch,5.92,3.8,2.75,1.79,1.52,1.35,0.76,0.68,0.66,0.66,0.6,0.6,0.57,0.57
